Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2
16-03-2012,28.4627,33.467,24.4158,73.1669,6.1477,247.1556
17-03-2012,28.4836,34.885,23.1043,66.483,5.4013,281.1817
18-03-2012,27.9399,34.7723,21.7759,65.8518,5.2088,281.4269
19-03-2012,28.7279,36.2658,21.6936,58.0552,6.7638,297.3219
20-03-2012,29.3211,36.7491,22.8737,55.5216,8.3462,297.1391
21-03-2012,29.3654,36.3074,23.777,58.7679,8.3032,293.0352
22-03-2012,29.1548,35.9962,23.2992,60.8448,6.7552,295.0545
23-03-2012,28.6038,36.1133,21.3021,58.0356,4.8407,305.3199
24-03-2012,27.7093,35.501,20.7188,50.2261,6.4773,316.8783
25-03-2012,27.5291,35.0111,20.2588,58.0513,6.4468,313.2086
26-03-2012,27.5734,34.2792,20.7212,59.0407,6.6437,297.409
27-03-2012,28.0586,33.0093,22.4362,69.0233,6.8131,246.0897
28-03-2012,29.0893,34.7813,24.6121,63.0222,5.8973,263.1905
29-03-2012,29.525,35.5339,24.0251,63.0929,5.2431,276.1193
30-03-2012,30.7718,37.5743,25.3273,59.7675,7.1814,294.6636
31-03-2012,30.1955,36.3972,25.6074,62.3948,8.2166,286.991
01-04-2012,29.12,34.4307,25.3103,66.8312,7.6495,257.4042
02-04-2012,28.9178,33.9627,24.9072,64.7499,7.6857,252.1601
03-04-2012,29.2697,35.5529,24.0259,59.9181,5.9354,293.345
04-04-2012,29.6124,35.8752,23.9593,61.0041,7.7863,278.6302
05-04-2012,30.7875,37.7665,24.701,55.4445,8.4014,308.7713
06-04-2012,30.9512,37.0871,26.4277,57.5818,9.5108,291.2825
07-04-2012,30.9099,36.8683,26.724,61.2278,8.8596,288.8143
08-04-2012,30.5079,35.7362,26.4684,62.8268,8.8484,266.1801
09-04-2012,30.429,35.8773,26.3575,63.9597,9.9277,273.0865
10-04-2012,30.5293,37.0133,26.3332,62.0896,9.4914,289.6912
11-04-2012,30.5565,36.8524,26.2093,62.1148,8.148,292.2094
12-04-2012,30.2524,35.2423,26.581,64.6828,8.2419,266.072
13-04-2012,30.3246,35.8526,26.4104,63.1018,6.9899,260.5385
14-04-2012,30.159,35.8676,26.0582,63.4557,7.7435,271.8038
15-04-2012,29.9552,35.5793,25.7891,64.5328,6.6457,262.9426
16-04-2012,30.6991,37.2443,26.3535,61.705,6.5014,272.4749
17-04-2012,31.3401,38.3074,26.4528,58.6561,8.082,295.1771
18-04-2012,31.6539,37.8207,26.3517,58.6188,8.7369,301.1505
19-04-2012,31.564,37.5594,27.2628,58.8734,7.3558,284.1403
20-04-2012,30.843,35.9098,27.1794,63.9075,9.8228,220.9452
21-04-2012,31.0133,36.8531,26.9141,63.4708,5.79,174.3669
22-04-2012,31.5235,38.3511,26.3827,58.2711,5.2505,300.8931
23-04-2012,30.861,36.6791,26.9607,63.9701,6.0892,256.3017
24-04-2012,28.8989,34.3253,25.5004,75.8385,3.708,194.7884
25-04-2012,28.8027,33.6981,25.4204,75.401,4.6794,218.3151
26-04-2012,27.8273,32.2508,25.1285,79.6392,4.6828,217.1107
27-04-2012,29.3553,33.7109,25.1622,68.9817,9.9739,243.0624
28-04-2012,30.4557,35.6241,26.46,66.0885,10.3798,270.3352
29-04-2012,31.022,36.1322,27.1801,65.4778,8.1716,271.8501
30-04-2012,30.2907,35.7548,26.7634,69.663,7.4638,254.7584
01-05-2012,30.4159,36.1626,26.7233,68.3888,8.361,255.4255
02-05-2012,30.6704,36.1887,27.1491,66.2133,9.8414,266.402
03-05-2012,30.9076,36.3846,27.3357,64.5533,11.3034,271.5985
04-05-2012,31.1885,37.3974,27.4355,62.6846,12.3431,273.9013
05-05-2012,31.3478,37.6363,27.4256,59.3275,10.627,281.5668
06-05-2012,32.1592,38.3133,27.3009,52.7797,7.287,280.9107
07-05-2012,32.1345,39.0135,27.2281,52.8902,5.0512,283.0551
08-05-2012,31.6482,37.4604,27.31,62.5349,8.8697,283.147
09-05-2012,31.6243,37.3174,27.3729,60.8911,8.4198,275.1026
10-05-2012,31.409,37.7402,27.058,61.542,8.1644,281.1648
11-05-2012,30.459,36.1047,26.9066,65.561,7.0005,253.3371
12-05-2012,30.2074,36.0575,26.9554,67.4176,7.9346,268.0548
13-05-2012,30.8593,36.09,26.8566,65.7751,4.7305,255.5615
14-05-2012,30.6681,34.4824,27.5846,69.3269,9.3737,236.2617
15-05-2012,31.5973,37.2686,27.6052,62.5949,10.242,278.89
16-05-2012,32.0241,38.6317,27.6746,59.3558,9.8764,287.1292
17-05-2012,32.3265,38.7903,28.282,59.642,8.2825,255.9425
18-05-2012,32.551,39.2264,28.0723,58.612,8.0403,279.3273
19-05-2012,32.6611,38.975,27.9931,59.1653,9.104,275.3538
20-05-2012,32.5128,39.1339,28.4069,58.4317,9.1602,270.5663
21-05-2012,32.4136,39.5819,28.2084,55.1759,9.2934,277.1546
22-05-2012,32.3202,38.4385,28.2751,56.4716,10.3383,271.3892
23-05-2012,32.7209,38.8181,28.5605,52.6024,11.5471,284.2144
24-05-2012,32.7388,39.1715,28.3666,48.5231,12.6644,271.1977
25-05-2012,32.7729,39.3013,28.4738,47.7591,13.1454,278.6569
26-05-2012,31.232,37.8132,27.9829,56.1738,12.971,255.4597
27-05-2012,32.1611,38.7251,27.6816,53.7457,12.1584,287.7668
