block,year_month,date,TWS_anomaly_mm
Papanasam,2013-02,2013-02-01,-34.49647697782159
Papanasam,2013-04,2013-04-11,-53.75274512986279
Papanasam,2013-05,2013-05-01,-66.95013883180496
Papanasam,2013-06,2013-06-01,-32.13481294140278
Papanasam,2013-07,2013-07-01,-38.96498128686421
Papanasam,2013-10,2013-10-01,-17.64701119832837
Papanasam,2013-11,2013-11-01,-13.172826028652269
Papanasam,2013-12,2013-12-01,-29.613802701102852
Papanasam,2014-01,2014-01-01,-41.64231890516232
Papanasam,2014-03,2014-03-01,-65.25309877836689
Papanasam,2014-04,2014-04-01,-103.13295306414277
Papanasam,2014-05,2014-05-01,-56.852560993736
Papanasam,2014-06,2014-06-01,-69.76126970776025
Papanasam,2014-08,2014-08-01,-41.29048849268326
Papanasam,2014-09,2014-09-01,-58.081801976759905
Papanasam,2014-10,2014-10-01,-27.004846901336094
Papanasam,2014-11,2014-11-01,-17.563347111160827
Papanasam,2015-01,2015-01-13,-53.93123586092396
Papanasam,2015-02,2015-02-01,-38.26294172799873
Papanasam,2015-03,2015-03-01,-53.55841455382243
Papanasam,2015-04,2015-04-01,-59.3654841925399
Papanasam,2015-06,2015-06-29,-41.51845221123541
Papanasam,2015-08,2015-08-01,-9.544353930188104
Papanasam,2015-09,2015-09-01,-43.70567512081196
Papanasam,2015-12,2015-12-11,35.6456387185984
Papanasam,2016-01,2016-01-04,5.655030173569982
Papanasam,2016-03,2016-03-01,-45.282075865278465
Papanasam,2016-05,2016-05-07,-23.674373952358614
Papanasam,2016-06,2016-06-01,-15.43578963079286
Papanasam,2016-07,2016-07-01,33.655006058348405
Papanasam,2016-08,2016-08-08,-80.35810853087563
Papanasam,2016-11,2016-11-13,-80.44917869006342
Papanasam,2016-12,2016-12-11,-63.83631582691218
Papanasam,2017-01,2017-01-07,-122.19875381894802
Pattukkottai,2012-01,2012-01-01,50.69663983817326
Pattukkottai,2012-02,2012-02-01,37.52375328769659
Pattukkottai,2012-03,2012-03-01,-20.673315329094045
Pattukkottai,2012-06,2012-06-01,-50.81187367293736
Pattukkottai,2012-07,2012-07-01,-21.154213724112942
Pattukkottai,2012-08,2012-08-01,-16.66600818762637
Pattukkottai,2012-09,2012-09-01,-33.18316112224593
Pattukkottai,2012-11,2012-11-06,7.532088102464049
Pattukkottai,2012-12,2012-12-01,-6.849434971852757
Pattukkottai,2013-01,2013-01-01,-30.408109785758505
Pattukkottai,2013-02,2013-02-01,-34.49647697782159
Pattukkottai,2013-04,2013-04-11,-53.75274512986279
Pattukkottai,2013-05,2013-05-01,-66.95013883180496
Pattukkottai,2013-06,2013-06-01,-32.13481294140278
Pattukkottai,2013-07,2013-07-01,-38.96498128686421
Pattukkottai,2013-10,2013-10-01,-17.64701119832837
Pattukkottai,2013-11,2013-11-01,-13.172826028652269
Pattukkottai,2013-12,2013-12-01,-29.613802701102852
Pattukkottai,2014-01,2014-01-01,-41.64231890516232
Pattukkottai,2014-03,2014-03-01,-65.25309877836689
Pattukkottai,2014-04,2014-04-01,-103.13295306414277
Pattukkottai,2014-05,2014-05-01,-56.852560993736
Pattukkottai,2014-06,2014-06-01,-69.76126970776025
Pattukkottai,2014-08,2014-08-01,-41.29048849268326
Pattukkottai,2014-09,2014-09-01,-58.081801976759905
Pattukkottai,2014-10,2014-10-01,-27.004846901336094
Pattukkottai,2014-11,2014-11-01,-17.563347111160827
Pattukkottai,2015-01,2015-01-13,-53.93123586092396
Pattukkottai,2015-02,2015-02-01,-38.26294172799873
Pattukkottai,2015-03,2015-03-01,-53.55841455382243
Pattukkottai,2015-04,2015-04-01,-59.3654841925399
Pattukkottai,2015-06,2015-06-29,-41.51845221123541
Pattukkottai,2015-08,2015-08-01,-9.544353930188104
Pattukkottai,2015-09,2015-09-01,-43.70567512081196
Pattukkottai,2015-12,2015-12-11,35.6456387185984
Pattukkottai,2016-01,2016-01-04,5.655030173569982
Pattukkottai,2016-03,2016-03-01,-45.282075865278465
Pattukkottai,2016-05,2016-05-07,-23.674373952358614
Pattukkottai,2016-06,2016-06-01,-15.43578963079286
Pattukkottai,2016-07,2016-07-01,33.655006058348405
Pattukkottai,2016-08,2016-08-08,-80.35810853087563
Pattukkottai,2016-11,2016-11-13,-80.44917869006342
Pattukkottai,2016-12,2016-12-11,-63.83631582691218
Pattukkottai,2017-01,2017-01-07,-122.19875381894802
Peravurani,2012-01,2012-01-01,50.69663983817326
Peravurani,2012-02,2012-02-01,37.52375328769659
Peravurani,2012-03,2012-03-01,-20.673315329094045
Peravurani,2012-06,2012-06-01,-50.81187367293736
Peravurani,2012-07,2012-07-01,-21.154213724112942
Peravurani,2012-08,2012-08-01,-16.66600818762637
Peravurani,2012-09,2012-09-01,-33.18316112224593
Peravurani,2012-11,2012-11-06,7.532088102464049
Peravurani,2012-12,2012-12-01,-6.849434971852757
Peravurani,2013-01,2013-01-01,-30.408109785758505
Peravurani,2013-02,2013-02-01,-34.49647697782159
Peravurani,2013-04,2013-04-11,-53.75274512986279
Peravurani,2013-05,2013-05-01,-66.95013883180496
Peravurani,2013-06,2013-06-01,-32.13481294140278
Peravurani,2013-07,2013-07-01,-38.96498128686421
Peravurani,2013-10,2013-10-01,-17.64701119832837
Peravurani,2013-11,2013-11-01,-13.172826028652269
Peravurani,2013-12,2013-12-01,-29.613802701102852
Peravurani,2014-01,2014-01-01,-41.64231890516232
Peravurani,2014-03,2014-03-01,-65.25309877836689
