block,year_month,date,TWS_anomaly_mm
Thiruvaiyaru,2014-09,2014-09-01,-58.081801976759905
Thiruvaiyaru,2014-10,2014-10-01,-27.004846901336094
Thiruvaiyaru,2014-11,2014-11-01,-17.563347111160827
Thiruvaiyaru,2015-01,2015-01-13,-53.93123586092396
Thiruvaiyaru,2015-02,2015-02-01,-38.26294172799873
Thiruvaiyaru,2015-03,2015-03-01,-53.55841455382243
Thiruvaiyaru,2015-04,2015-04-01,-59.3654841925399
Thiruvaiyaru,2015-06,2015-06-29,-41.51845221123541
Thiruvaiyaru,2015-08,2015-08-01,-9.544353930188104
Thiruvaiyaru,2015-09,2015-09-01,-43.70567512081196
Thiruvaiyaru,2015-12,2015-12-11,35.6456387185984
Thiruvaiyaru,2016-01,2016-01-04,5.655030173569982
Thiruvaiyaru,2016-03,2016-03-01,-45.282075865278465
Thiruvaiyaru,2016-05,2016-05-07,-23.674373952358614
Thiruvaiyaru,2016-06,2016-06-01,-15.43578963079286
Thiruvaiyaru,2016-07,2016-07-01,33.655006058348405
Thiruvaiyaru,2016-08,2016-08-08,-80.35810853087563
Thiruvaiyaru,2016-11,2016-11-13,-80.44917869006342
Thiruvaiyaru,2016-12,2016-12-11,-63.83631582691218
Thiruvaiyaru,2017-01,2017-01-07,-122.19875381894802
Budalur,2012-01,2012-01-01,50.69663983817326
Budalur,2012-02,2012-02-01,37.52375328769659
Budalur,2012-03,2012-03-01,-20.673315329094045
Budalur,2012-06,2012-06-01,-50.81187367293736
Budalur,2012-07,2012-07-01,-21.154213724112942
Budalur,2012-08,2012-08-01,-16.66600818762637
Budalur,2012-09,2012-09-01,-33.18316112224593
Budalur,2012-11,2012-11-06,7.532088102464049
Budalur,2012-12,2012-12-01,-6.849434971852757
Budalur,2013-01,2013-01-01,-30.408109785758505
Budalur,2013-02,2013-02-01,-34.49647697782159
Budalur,2013-04,2013-04-11,-53.75274512986279
Budalur,2013-05,2013-05-01,-66.95013883180496
Budalur,2013-06,2013-06-01,-32.13481294140278
Budalur,2013-07,2013-07-01,-38.96498128686421
Budalur,2013-10,2013-10-01,-17.64701119832837
Budalur,2013-11,2013-11-01,-13.172826028652269
Budalur,2013-12,2013-12-01,-29.613802701102852
Budalur,2014-01,2014-01-01,-41.64231890516232
Budalur,2014-03,2014-03-01,-65.25309877836689
Budalur,2014-04,2014-04-01,-103.13295306414277
Budalur,2014-05,2014-05-01,-56.852560993736
Budalur,2014-06,2014-06-01,-69.76126970776025
Budalur,2014-08,2014-08-01,-41.29048849268326
Budalur,2014-09,2014-09-01,-58.081801976759905
Budalur,2014-10,2014-10-01,-27.004846901336094
Budalur,2014-11,2014-11-01,-17.563347111160827
Budalur,2015-01,2015-01-13,-53.93123586092396
Budalur,2015-02,2015-02-01,-38.26294172799873
Budalur,2015-03,2015-03-01,-53.55841455382243
Budalur,2015-04,2015-04-01,-59.3654841925399
Budalur,2015-06,2015-06-29,-41.51845221123541
Budalur,2015-08,2015-08-01,-9.544353930188104
Budalur,2015-09,2015-09-01,-43.70567512081196
Budalur,2015-12,2015-12-11,35.6456387185984
Budalur,2016-01,2016-01-04,5.655030173569982
Budalur,2016-03,2016-03-01,-45.282075865278465
Budalur,2016-05,2016-05-07,-23.674373952358614
Budalur,2016-06,2016-06-01,-15.43578963079286
Budalur,2016-07,2016-07-01,33.655006058348405
Budalur,2016-08,2016-08-08,-80.35810853087563
Budalur,2016-11,2016-11-13,-80.44917869006342
Budalur,2016-12,2016-12-11,-63.83631582691218
Budalur,2017-01,2017-01-07,-122.19875381894802
Ammapettai,2012-01,2012-01-01,50.69663983817326
Ammapettai,2012-02,2012-02-01,37.52375328769659
Ammapettai,2012-03,2012-03-01,-20.673315329094045
Ammapettai,2012-06,2012-06-01,-50.81187367293736
Ammapettai,2012-07,2012-07-01,-21.154213724112942
Ammapettai,2012-08,2012-08-01,-16.66600818762637
Ammapettai,2012-09,2012-09-01,-33.18316112224593
Ammapettai,2012-11,2012-11-06,7.532088102464049
Ammapettai,2012-12,2012-12-01,-6.849434971852757
Ammapettai,2013-01,2013-01-01,-30.408109785758505
Ammapettai,2013-02,2013-02-01,-34.49647697782159
Ammapettai,2013-04,2013-04-11,-53.75274512986279
Ammapettai,2013-05,2013-05-01,-66.95013883180496
Ammapettai,2013-06,2013-06-01,-32.13481294140278
Ammapettai,2013-07,2013-07-01,-38.96498128686421
Ammapettai,2013-10,2013-10-01,-17.64701119832837
Ammapettai,2013-11,2013-11-01,-13.172826028652269
Ammapettai,2013-12,2013-12-01,-29.613802701102852
Ammapettai,2014-01,2014-01-01,-41.64231890516232
Ammapettai,2014-03,2014-03-01,-65.25309877836689
Ammapettai,2014-04,2014-04-01,-103.13295306414277
Ammapettai,2014-05,2014-05-01,-56.852560993736
Ammapettai,2014-06,2014-06-01,-69.76126970776025
Ammapettai,2014-08,2014-08-01,-41.29048849268326
Ammapettai,2014-09,2014-09-01,-58.081801976759905
Ammapettai,2014-10,2014-10-01,-27.004846901336094
Ammapettai,2014-11,2014-11-01,-17.563347111160827
Ammapettai,2015-01,2015-01-13,-53.93123586092396
Ammapettai,2015-02,2015-02-01,-38.26294172799873
Ammapettai,2015-03,2015-03-01,-53.55841455382243
Ammapettai,2015-04,2015-04-01,-59.3654841925399
Ammapettai,2015-06,2015-06-29,-41.51845221123541
Ammapettai,2015-08,2015-08-01,-9.544353930188104
Ammapettai,2015-09,2015-09-01,-43.70567512081196
Ammapettai,2015-12,2015-12-11,35.6456387185984
Ammapettai,2016-01,2016-01-04,5.655030173569982
Ammapettai,2016-03,2016-03-01,-45.282075865278465
Ammapettai,2016-05,2016-05-07,-23.674373952358614
Ammapettai,2016-06,2016-06-01,-15.43578963079286
Ammapettai,2016-07,2016-07-01,33.655006058348405
Ammapettai,2016-08,2016-08-08,-80.35810853087563
Ammapettai,2016-11,2016-11-13,-80.44917869006342
Ammapettai,2016-12,2016-12-11,-63.83631582691218
Ammapettai,2017-01,2017-01-07,-122.19875381894802
Madukkur,2012-01,2012-01-01,50.69663983817326
Madukkur,2012-02,2012-02-01,37.52375328769659
Madukkur,2012-03,2012-03-01,-20.673315329094045
Madukkur,2012-06,2012-06-01,-50.81187367293736
Madukkur,2012-07,2012-07-01,-21.154213724112942
Madukkur,2012-08,2012-08-01,-16.66600818762637
Madukkur,2012-09,2012-09-01,-33.18316112224593
Madukkur,2012-11,2012-11-06,7.532088102464049
Madukkur,2012-12,2012-12-01,-6.849434971852757
Madukkur,2013-01,2013-01-01,-30.408109785758505
Madukkur,2013-02,2013-02-01,-34.49647697782159
Madukkur,2013-04,2013-04-11,-53.75274512986279
Madukkur,2013-05,2013-05-01,-66.95013883180496
Madukkur,2013-06,2013-06-01,-32.13481294140278
Madukkur,2013-07,2013-07-01,-38.96498128686421
Madukkur,2013-10,2013-10-01,-17.64701119832837
Madukkur,2013-11,2013-11-01,-13.172826028652269
Madukkur,2013-12,2013-12-01,-29.613802701102852
Madukkur,2014-01,2014-01-01,-41.64231890516232
Madukkur,2014-03,2014-03-01,-65.25309877836689
Madukkur,2014-04,2014-04-01,-103.13295306414277
Madukkur,2014-05,2014-05-01,-56.852560993736
Madukkur,2014-06,2014-06-01,-69.76126970776025
Madukkur,2014-08,2014-08-01,-41.29048849268326
Madukkur,2014-09,2014-09-01,-58.081801976759905
Madukkur,2014-10,2014-10-01,-27.004846901336094
Madukkur,2014-11,2014-11-01,-17.563347111160827
Madukkur,2015-01,2015-01-13,-53.93123586092396
Madukkur,2015-02,2015-02-01,-38.26294172799873
Madukkur,2015-03,2015-03-01,-53.55841455382243
Madukkur,2015-04,2015-04-01,-59.3654841925399
Madukkur,2015-06,2015-06-29,-41.51845221123541
Madukkur,2015-08,2015-08-01,-9.544353930188104
Madukkur,2015-09,2015-09-01,-43.70567512081196
Madukkur,2015-12,2015-12-11,35.6456387185984
Madukkur,2016-01,2016-01-04,5.655030173569982
Madukkur,2016-03,2016-03-01,-45.282075865278465
Madukkur,2016-05,2016-05-07,-23.674373952358614
Madukkur,2016-06,2016-06-01,-15.43578963079286
Madukkur,2016-07,2016-07-01,33.655006058348405
Madukkur,2016-08,2016-08-08,-80.35810853087563
Madukkur,2016-11,2016-11-13,-80.44917869006342
Madukkur,2016-12,2016-12-11,-63.83631582691218
Madukkur,2017-01,2017-01-07,-122.19875381894802
Sethubhavachatram,2012-01,2012-01-01,50.69663983817326
Sethubhavachatram,2012-02,2012-02-01,37.52375328769659
Sethubhavachatram,2012-03,2012-03-01,-20.673315329094045
Sethubhavachatram,2012-06,2012-06-01,-50.81187367293736
Sethubhavachatram,2012-07,2012-07-01,-21.154213724112942
