Date,block,SSM_m3m3
07-09-15,Ammapettai,0.213445423
08-09-15,Ammapettai,0.300293154
09-09-15,Ammapettai,0.218069048
10-09-15,Ammapettai,0.434665718
11-09-15,Ammapettai,0.478188737
12-09-15,Ammapettai,0.385827766
13-09-15,Ammapettai,0.254879597
14-09-15,Ammapettai,0.246397232
15-09-15,Ammapettai,0.284434512
16-09-15,Ammapettai,0.203164937
17-09-15,Ammapettai,0.227182294
18-09-15,Ammapettai,0.310903347
19-09-15,Ammapettai,0.192310762
20-09-15,Ammapettai,0.242381073
21-09-15,Ammapettai,0.290462229
22-09-15,Ammapettai,0.237916482
23-09-15,Ammapettai,0.446517676
24-09-15,Ammapettai,0.175092092
25-09-15,Ammapettai,0.265590126
26-09-15,Ammapettai,0.437637091
27-09-15,Ammapettai,0.342396931
28-09-15,Ammapettai,0.356803678
29-09-15,Ammapettai,0.347271014
30-09-15,Ammapettai,0.347971134
04-10-15,Ammapettai,0.236878431
05-10-15,Ammapettai,0.207461924
06-10-15,Ammapettai,0.191421981
07-10-15,Ammapettai,0.220127187
08-10-15,Ammapettai,0.216619567
09-10-15,Ammapettai,0.276679329
10-10-15,Ammapettai,0.300896237
11-10-15,Ammapettai,0.401725467
12-10-15,Ammapettai,0.294121191
13-10-15,Ammapettai,0.410760073
14-10-15,Ammapettai,0.460873571
15-10-15,Ammapettai,0.4192417
16-10-15,Ammapettai,0.436926422
17-10-15,Ammapettai,0.486809457
18-10-15,Ammapettai,0.357300178
19-10-15,Ammapettai,0.430249207
20-10-15,Ammapettai,0.486284103
21-10-15,Ammapettai,0.395160181
22-10-15,Ammapettai,0.455215578
23-10-15,Ammapettai,0.440136674
24-10-15,Ammapettai,0.436918289
25-10-15,Ammapettai,0.48498772
26-10-15,Ammapettai,0.422424824
27-10-15,Ammapettai,0.395486307
28-10-15,Ammapettai,0.486273534
29-10-15,Ammapettai,0.370436169
30-10-15,Ammapettai,0.39271606
31-10-15,Ammapettai,0.441788265
04-11-15,Ammapettai,0.288024212
05-11-15,Ammapettai,0.191218618
06-11-15,Ammapettai,0.171203993
07-11-15,Ammapettai,0.426177241
08-11-15,Ammapettai,0.180516575
09-11-15,Ammapettai,0.208932009
10-11-15,Ammapettai,0.406087361
11-11-15,Ammapettai,0.387545375
12-11-15,Ammapettai,0.344076765
13-11-15,Ammapettai,0.48446374
14-11-15,Ammapettai,0.389607604
15-11-15,Ammapettai,0.463649349
16-11-15,Ammapettai,0.442649425
17-11-15,Ammapettai,0.402140034
18-11-15,Ammapettai,0.351634103
19-11-15,Ammapettai,0.379902161
20-11-15,Ammapettai,0.36982898
21-11-15,Ammapettai,0.420438198
22-11-15,Ammapettai,0.330097973
23-11-15,Ammapettai,0.423514276
24-11-15,Ammapettai,0.408535007
25-11-15,Ammapettai,0.385052908
26-11-15,Ammapettai,0.313665255
27-11-15,Ammapettai,0.31556822
28-11-15,Ammapettai,0.32947473
29-11-15,Ammapettai,0.365164571
30-11-15,Ammapettai,0.286058074
04-12-15,Ammapettai,0.193749971
05-12-15,Ammapettai,0.234059101
06-12-15,Ammapettai,0.207524777
07-12-15,Ammapettai,0.217488357
08-12-15,Ammapettai,0.452392346
09-12-15,Ammapettai,0.242630727
10-12-15,Ammapettai,0.461508847
11-12-15,Ammapettai,0.428782083
12-12-15,Ammapettai,0.265322632
13-12-15,Ammapettai,0.254575181
14-12-15,Ammapettai,0.287149384
15-12-15,Ammapettai,0.338760744
17-12-15,Ammapettai,0.254944914
18-12-15,Ammapettai,0.288016355
19-12-15,Ammapettai,0.260733286
20-12-15,Ammapettai,0.239912181
21-12-15,Ammapettai,0.231352953
22-12-15,Ammapettai,0.253519717
23-12-15,Ammapettai,0.267449701
24-12-15,Ammapettai,0.235225821
25-12-15,Ammapettai,0.243059997
26-12-15,Ammapettai,0.261200069
27-12-15,Ammapettai,0.220681418
28-12-15,Ammapettai,0.236765542
29-12-15,Ammapettai,0.262789126
30-12-15,Ammapettai,0.219140536
31-12-15,Ammapettai,0.2532476
01-01-16,Ammapettai,0.212255038
02-01-16,Ammapettai,0.2178984
03-01-16,Ammapettai,0.194494008
04-01-16,Ammapettai,0.222818088
06-01-16,Ammapettai,0.240497136
07-01-16,Ammapettai,0.210315591
08-01-16,Ammapettai,0.3022793
09-01-16,Ammapettai,0.215492835
10-01-16,Ammapettai,0.454365372
11-01-16,Ammapettai,0.480987122
12-01-16,Ammapettai,0.350020069
13-01-16,Ammapettai,0.208390951
14-01-16,Ammapettai,0.184866481
15-01-16,Ammapettai,0.209788119
16-01-16,Ammapettai,0.223912796
17-01-16,Ammapettai,0.18519875
18-01-16,Ammapettai,0.2031942
19-01-16,Ammapettai,0.20252205
20-01-16,Ammapettai,0.198099852
21-01-16,Ammapettai,0.21755658
22-01-16,Ammapettai,0.28229912
23-01-16,Ammapettai,0.200090146
24-01-16,Ammapettai,0.22718661
25-01-16,Ammapettai,0.213970222
26-01-16,Ammapettai,0.199173308
27-01-16,Ammapettai,0.197278889
28-01-16,Ammapettai,0.210215995
29-01-16,Ammapettai,0.220356776
30-01-16,Ammapettai,0.255609614
31-01-16,Ammapettai,0.206209949
01-02-16,Ammapettai,0.210183687
02-02-16,Ammapettai,0.218695748
03-02-16,Ammapettai,0.259392173
04-02-16,Ammapettai,0.20494942
05-02-16,Ammapettai,0.21564082
06-02-16,Ammapettai,0.212136709
07-02-16,Ammapettai,0.301816786
08-02-16,Ammapettai,0.249553615
09-02-16,Ammapettai,0.262567146
10-02-16,Ammapettai,0.268250093
11-02-16,Ammapettai,0.483517908
12-02-16,Ammapettai,0.382862288
13-02-16,Ammapettai,0.198505283
14-02-16,Ammapettai,0.208734467
15-02-16,Ammapettai,0.191162056
16-02-16,Ammapettai,0.189503592
17-02-16,Ammapettai,0.24045001
18-02-16,Ammapettai,0.191479077
19-02-16,Ammapettai,0.208923675
20-02-16,Ammapettai,0.184395944
21-02-16,Ammapettai,0.212227426
22-02-16,Ammapettai,0.211530136
23-02-16,Ammapettai,0.193533076
24-02-16,Ammapettai,0.214034051
25-02-16,Ammapettai,0.240117861
26-02-16,Ammapettai,0.193022096
27-02-16,Ammapettai,0.210835061
28-02-16,Ammapettai,0.206251708
29-02-16,Ammapettai,0.202388707
01-03-16,Ammapettai,0.223910408
02-03-16,Ammapettai,0.202869925
03-03-16,Ammapettai,0.211243134
04-03-16,Ammapettai,0.294379898
05-03-16,Ammapettai,0.178929379
06-03-16,Ammapettai,0.173898249
07-03-16,Ammapettai,0.284605762
08-03-16,Ammapettai,0.274838089
09-03-16,Ammapettai,0.323537635
10-03-16,Ammapettai,0.281521368
11-03-16,Ammapettai,0.419494837
12-03-16,Ammapettai,0.352654255
13-03-16,Ammapettai,0.279665896
14-03-16,Ammapettai,0.235352721
15-03-16,Ammapettai,0.238521693
16-03-16,Ammapettai,0.22530551
17-03-16,Ammapettai,0.280116123
18-03-16,Ammapettai,0.293418199
19-03-16,Ammapettai,0.250275452
20-03-16,Ammapettai,0.237780398
21-03-16,Ammapettai,0.307540806
22-03-16,Ammapettai,0.227868615
23-03-16,Ammapettai,0.238061062
24-03-16,Ammapettai,0.222488353
25-03-16,Ammapettai,0.233087596
26-03-16,Ammapettai,0.30686294
27-03-16,Ammapettai,0.227967057
28-03-16,Ammapettai,0.222004329
29-03-16,Ammapettai,0.303919361
30-03-16,Ammapettai,0.224181227
31-03-16,Ammapettai,0.235186322
01-04-16,Ammapettai,0.222980753
02-04-16,Ammapettai,0.192469362
03-04-16,Ammapettai,0.215437794
04-04-16,Ammapettai,0.220686809
05-04-16,Ammapettai,0.21645647
06-04-16,Ammapettai,0.188517992
07-04-16,Ammapettai,0.225000157
08-04-16,Ammapettai,0.304886494
09-04-16,Ammapettai,0.267912514
10-04-16,Ammapettai,0.392277172
11-04-16,Ammapettai,0.486809457
12-04-16,Ammapettai,0.357066439
13-04-16,Ammapettai,0.223104166
14-04-16,Ammapettai,0.285184006
15-04-16,Ammapettai,0.209428336
16-04-16,Ammapettai,0.228016672
17-04-16,Ammapettai,0.200786341
18-04-16,Ammapettai,0.202160271
19-04-16,Ammapettai,0.277193804
20-04-16,Ammapettai,0.205698122
21-04-16,Ammapettai,0.215872349
22-04-16,Ammapettai,0.271965102
23-04-16,Ammapettai,0.203487768
24-04-16,Ammapettai,0.25623316
25-04-16,Ammapettai,0.197939396
26-04-16,Ammapettai,0.191403099
27-04-16,Ammapettai,0.259501
28-04-16,Ammapettai,0.184395211
29-04-16,Ammapettai,0.189103656
30-04-16,Ammapettai,0.301801362
01-05-16,Ammapettai,0.205953468
02-05-16,Ammapettai,0.197728837
03-05-16,Ammapettai,0.252424114
04-05-16,Ammapettai,0.230644488
05-05-16,Ammapettai,0.360162706
06-05-16,Ammapettai,0.150395674
07-05-16,Ammapettai,0.303825045
08-05-16,Ammapettai,0.219430774
09-05-16,Ammapettai,0.251971731
10-05-16,Ammapettai,0.389591418
11-05-16,Ammapettai,0.485844728
